date,SPXT,SPXT_7D_RTN,SPXT_1M_RTN,SPXT_3M_RTN,SPXT_7D_POS,SPXT_1M_POS,SPXT_3M_POS,SPX,SPX_7D_RTN,SPX_1M_RTN,SPX_3M_RTN,SPX_7D_POS,SPX_1M_POS,SPX_3M_POS,2_10_curve,SPX_IV,TY_1M_25DC,DIX,GEX,3M_LIBOR,3M_OIS,LOIS,SELL2_BUY10,INFL_SWP_1Y,INFL_SWP_2Y,INFL_SWP_5Y,INFL_SWP_10Y,ELECTION_YEAR,CDX_IG,CDX_HY,CDX_EM,FARWSHO,USD_3M_FRA_OIS_1,USD_3M_FRA_OIS_2,USD_3M_FRA_OIS_3,EUR_3M_FRA_OIS_1,GBP_3M_FRA_OIS_1,GFC_TSY_RP,GFC_MBS_RP
6/1/2011,2227.96,-0.02235677481,0.02078134257,-0.07884342627,0,1,0,1314.55,-0.02252481838,0.01910920087,-0.08377771861,0,1,0,250.669,15.19,5.97,0.40014713,24119666,0.25288,0.11,0.143,250.669,2.035,2.07,2.3173,2.6431,0,#N/A,#N/A,#N/A,2560000000000,14.869,17.38,20.45,24.125,28.435,0.118,0.156
6/2/2011,2225.36,-0.0251015566,0.02063935723,-0.1010443254,0,1,0,1312.94,-0.02542385791,0.01899553673,-0.105846421,0,1,0,257.2,15.29,6.04,0.40677393,-172403089,0.252,0.109,0.143,257.2,1.99,2.07,2.3539,2.8764,0,#N/A,#N/A,#N/A,#N/A,15.02,18.1,20.45,23.875,28.875,0.111,0.137
6/3/2011,2203.81,-0.008299263548,0.03203996715,-0.09898312468,0,1,0,1300.16,-0.008583558947,0.03005014767,-0.1037718435,0,1,0,256.007,15.55,5.61,0.40458124,-285916518,0.252,0.1095,0.142,256.007,1.9566,2.046,2.3549,2.8668,0,#N/A,#N/A,#N/A,#N/A,14.895,18.038,19.8,22.95,28.533,0.1,0.13
6/6/2011,2180.14,-0.01153136955,0.0542029411,-0.06288128285,0,1,0,1286.17,-0.01181025836,0.05213152227,-0.0680703173,0,1,0,257.318,16.15,5.81,0.41445069,-110999211,0.25175,0.1105,0.141,257.318,1.92,2.0319,2.3542,2.8773,0,#N/A,#N/A,#N/A,#N/A,14.411,17.674,20.13,21.15,28.332,0.08,0.12
6/7/2011,2178.15,-0.009641209283,0.0478249891,-0.07195555862,0,1,0,1284.94,-0.01020281103,0.04580758635,-0.07707752891,0,1,0,258.911,15.6,5.7,0.43612553,-459227978,0.25175,0.112,0.14,258.911,1.89,2.01,2.371,2.9,0,#N/A,#N/A,#N/A,#N/A,13.893,17.538,19.55,20.125,28.365,0.067,0.094
6/8/2011,2169.5,0.006904816778,0.03298916801,-0.09312283936,1,1,0,1279.56,0.006494419957,0.03120603958,-0.09794773203,1,1,0,255.679,16.21,5.87,0.40885086,-449818392,0.25025,0.112,0.138,255.679,1.9,2.0207,2.345,2.8567,0,#N/A,#N/A,#N/A,2590000000000,14.1965,17.539,20.5,20.625,28.358,0.05,0.08
6/9/2011,2185.52,-0.01787675244,0.02087832644,-0.09344229291,0,1,0,1289,-0.01829325058,0.01911559348,-0.09831652444,0,1,0,257.919,15.2,5.86,0.42697032,97844618,0.2495,0.1125,0.137,257.919,1.8911,2.0176,2.345,2.86,0,#N/A,#N/A,#N/A,#N/A,13.93,16.819,20.65,20.875,28.504,0.054,0.087
6/10/2011,2155,-0.002051044084,0.03864965197,-0.07188863109,0,1,0,1270.98,-0.002627893437,0.03677477222,-0.07719240271,0,1,0,257.011,15.92,5.72,0.43025975,-618829105,0.2485,0.1115,0.137,257.011,1.86,1.99,2.3182,2.85,0,#N/A,#N/A,#N/A,#N/A,13.332,16.639,21.3,20.35,28.969,0.059,0.089
6/13/2011,2157.15,-0.000004635746239,0.03066082563,-0.06031569432,0,1,0,1271.83,-0.0002594686397,0.02912338913,-0.06537823451,0,1,0,259.075,16.7,5.86,0.38797496,-643026780,0.247,0.1155,0.132,259.075,1.83,1.9516,2.315,2.86,0,#N/A,#N/A,#N/A,#N/A,17.049,21.134,21.8,23.125,29.125,0.072,0.111
6/14/2011,2184.48,-0.007177909617,0.02342433897,-0.05595381967,0,1,0,1287.87,-0.007384285681,0.02195097331,-0.06115524082,0,1,0,265.624,15.41,6.35,0.40896769,-444255511,0.24525,0.1135,0.132,265.624,1.82,2,2.375,2.91,0,#N/A,#N/A,#N/A,#N/A,17.3,21.3,21.875,22.125,28.634,0.073,0.114
